,epoch,test_rmse,train_rmse
0,0,0.4317740499973297,0.5296799540519714
1,1,0.42307916283607483,0.43360012769699097
2,2,0.3561875820159912,0.43198272585868835
3,3,0.3104166090488434,0.3592373728752136
4,4,0.2790614068508148,0.30673715472221375
5,5,0.2939704954624176,0.27673912048339844
6,6,0.29381710290908813,0.29831671714782715
7,7,0.2850360870361328,0.3065716624259949
8,8,0.27398815751075745,0.28488799929618835
9,9,0.2782451808452606,0.2747212052345276
10,10,0.2795328199863434,0.27593472599983215
11,11,0.2780502736568451,0.2748596668243408
12,12,0.2759090065956116,0.27467289566993713
13,13,0.2743632197380066,0.2729297876358032
14,14,0.27391892671585083,0.2719324231147766
15,15,0.27294108271598816,0.2725573480129242
16,16,0.27347415685653687,0.2707595229148865
17,17,0.2740515470504761,0.2696542739868164
18,18,0.2739301323890686,0.2704915702342987
19,19,0.27326345443725586,0.2692320644855499
20,20,0.27226120233535767,0.26830410957336426
21,21,0.27123987674713135,0.26642218232154846
22,22,0.26985791325569153,0.2656520903110504
23,23,0.2688993513584137,0.26450487971305847
24,24,0.268205463886261,0.26416558027267456
25,25,0.2680577337741852,0.2639883756637573
26,26,0.26864179968833923,0.26212918758392334
27,27,0.26840639114379883,0.2619701623916626
28,28,0.2639484703540802,0.2623768150806427
29,29,0.26388975977897644,0.25912073254585266
30,30,0.2622608542442322,0.25751760601997375
31,31,0.26110923290252686,0.2573477625846863
32,32,0.2611905634403229,0.25373896956443787
33,33,0.2616880536079407,0.2521146833896637
34,34,0.26326027512550354,0.25409194827079773
35,35,0.2638487219810486,0.2547863721847534
36,36,0.26491713523864746,0.25114792585372925
37,37,0.2654104232788086,0.2517082989215851
38,38,0.266358345746994,0.24934622645378113
39,39,0.2661684453487396,0.249551922082901
40,40,0.2645902931690216,0.24905972182750702
41,41,0.26281923055648804,0.24759764969348907
42,42,0.26241564750671387,0.24519407749176025
43,43,0.2615220248699188,0.24811947345733643
44,44,0.2608543038368225,0.24169106781482697
45,45,0.26650750637054443,0.2434922754764557
46,46,0.2726147770881653,0.2421925961971283
47,47,0.27256882190704346,0.2407793402671814
48,48,0.2731330692768097,0.24539585411548615
49,49,0.27248454093933105,0.24290640652179718
50,50,0.2656247615814209,0.2437921166419983
51,51,0.2631218731403351,0.24000778794288635
52,52,0.26504868268966675,0.24227654933929443
53,53,0.2641892433166504,0.2432425171136856
54,54,0.2666858732700348,0.23956535756587982
55,55,0.26144734025001526,0.24303679168224335
56,56,0.258452832698822,0.23666571080684662
57,57,0.2594543695449829,0.23873737454414368
58,58,0.2630830705165863,0.2411118447780609
59,59,0.26855921745300293,0.24314497411251068
60,60,0.26386013627052307,0.24389219284057617
61,61,0.2642629146575928,0.2399936467409134
62,62,0.2659737169742584,0.2370489537715912
63,63,0.2661789357662201,0.2359575480222702
64,64,0.26445654034614563,0.23956593871116638
65,65,0.26248854398727417,0.24281224608421326
66,66,0.2606743276119232,0.23952822387218475
67,67,0.2605772912502289,0.23574548959732056
68,68,0.260468989610672,0.23877567052841187
69,69,0.2620324194431305,0.23795044422149658
70,70,0.26321783661842346,0.23470529913902283
71,71,0.26097744703292847,0.23787753283977509
72,72,0.26146435737609863,0.2346542477607727
73,73,0.26066726446151733,0.23620139062404633
74,74,0.2563343644142151,0.23311500251293182
75,75,0.2540378272533417,0.23280958831310272
76,76,0.2520551383495331,0.23052668571472168
77,77,0.2505781054496765,0.23186568915843964
78,78,0.2562352418899536,0.22999775409698486
79,79,0.25471433997154236,0.23191159963607788
80,80,0.25237205624580383,0.23196198046207428
81,81,0.2525138854980469,0.23104122281074524
82,82,0.2535744309425354,0.23181822896003723
83,83,0.25125065445899963,0.2329280972480774
84,84,0.250508576631546,0.23280104994773865
85,85,0.25096452236175537,0.2295948565006256
86,86,0.24985383450984955,0.23112007975578308
87,87,0.2532961368560791,0.22965006530284882
88,88,0.2548638582229614,0.22830399870872498
89,89,0.2533630430698395,0.23020532727241516
90,90,0.25203680992126465,0.23130643367767334
91,91,0.2529293894767761,0.2275882214307785
92,92,0.25312337279319763,0.2260899394750595
93,93,0.25384044647216797,0.22628214955329895
94,94,0.2550854980945587,0.23038646578788757
95,95,0.25570613145828247,0.2266080528497696
96,96,0.2563587725162506,0.22207239270210266
97,97,0.26056164503097534,0.225075364112854
98,98,0.25769272446632385,0.22661863267421722
99,99,0.2556270658969879,0.22367478907108307
100,100,0.25392529368400574,0.22509193420410156
101,101,0.25359803438186646,0.22460485994815826
102,102,0.25371071696281433,0.2228538691997528
103,103,0.25388801097869873,0.22374272346496582
104,104,0.25290125608444214,0.22557690739631653
105,105,0.2534126341342926,0.2225467562675476
106,106,0.2540688216686249,0.22632165253162384
107,107,0.252793550491333,0.22894540429115295
108,108,0.2506643533706665,0.22262470424175262
109,109,0.24967782199382782,0.2217079997062683
110,110,0.24986055493354797,0.2256954163312912
111,111,0.25236934423446655,0.22605064511299133
112,112,0.24867410957813263,0.22463831305503845
113,113,0.24739007651805878,0.22425448894500732
114,114,0.24902431666851044,0.22727848589420319
115,115,0.24759811162948608,0.22439980506896973
116,116,0.2470466047525406,0.22328244149684906
117,117,0.24747803807258606,0.22064900398254395
118,118,0.24783898890018463,0.22501355409622192
119,119,0.24867157638072968,0.22507064044475555
120,120,0.24700690805912018,0.22173462808132172
121,121,0.24509358406066895,0.2245413362979889
122,122,0.2450195550918579,0.22469232976436615
123,123,0.24485783278942108,0.2210899293422699
124,124,0.24363425374031067,0.22350089251995087
125,125,0.2458576261997223,0.2222754806280136
126,126,0.24571247398853302,0.22391925752162933
127,127,0.25134897232055664,0.22182442247867584
128,128,0.24790194630622864,0.2217889130115509
129,129,0.24742448329925537,0.22197601199150085
